epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1270.39,1.2308,2.25204,1.07433,0.5998,0.25361,0.26175,0.17634,0.93274,1.13731,0.952,0.00332278,0.00332278,0.00332278
2,2590.82,1.08768,1.35661,1.01787,0.53836,0.36459,0.36582,0.24234,0.92953,1.02251,0.9507,0.00664962,0.00664962,0.00664962
3,3924.23,1.08553,1.22693,1.01972,0.61161,0.30427,0.32477,0.20532,0.98976,1.05897,1.00055,0.00995046,0.00995046,0.00995046
4,5282.2,1.06734,1.10355,1.01705,0.61455,0.37169,0.39866,0.26636,0.91606,0.92749,0.95446,0.00991232,0.00991232,0.00991232
5,6610.78,1.01498,0.98106,0.996,0.63199,0.41814,0.45206,0.30643,0.87038,0.82135,0.93936,0.00984449,0.00984449,0.00984449
6,1210.35,0.9836,0.91844,0.98227,0.67194,0.46256,0.51162,0.35025,0.82877,0.71564,0.91822,0.00975773,0.00975773,0.00975773
7,2485.47,0.96129,0.88242,0.97393,0.59736,0.4756,0.51777,0.34715,0.84288,0.7444,0.92568,0.00965239,0.00965239,0.00965239
8,3745.78,0.94337,0.85222,0.96692,0.56593,0.51777,0.55073,0.37605,0.81135,0.70714,0.91338,0.00952889,0.00952889,0.00952889
9,5003.95,0.93137,0.83079,0.96276,0.68279,0.51951,0.57431,0.3992,0.78948,0.65561,0.90287,0.00938772,0.00938772,0.00938772
10,6274.16,0.91779,0.80788,0.95787,0.61147,0.54921,0.58497,0.40498,0.79075,0.64645,0.90552,0.00922942,0.00922942,0.00922942
11,7552.5,0.91291,0.80074,0.95502,0.58523,0.5395,0.57644,0.40254,0.77727,0.63611,0.89893,0.00905463,0.00905463,0.00905463
12,8844.08,0.90329,0.78937,0.95302,0.58642,0.56856,0.60165,0.4232,0.77152,0.6254,0.89766,0.00886404,0.00886404,0.00886404
13,10150.8,0.89411,0.77797,0.94886,0.69987,0.55248,0.62112,0.43822,0.76509,0.61242,0.89165,0.00865839,0.00865839,0.00865839
14,11475.3,0.89237,0.77186,0.94856,0.66269,0.58932,0.64718,0.46098,0.74723,0.59247,0.88825,0.00843851,0.00843851,0.00843851
15,12758.7,0.8834,0.75823,0.94536,0.64484,0.56181,0.6241,0.44715,0.74396,0.5936,0.88888,0.00820525,0.00820525,0.00820525
16,14060.6,0.87672,0.74955,0.9407,0.64495,0.57245,0.63245,0.45121,0.7376,0.58232,0.88302,0.00795954,0.00795954,0.00795954
17,1191.59,0.86572,0.73352,0.93722,0.6925,0.58499,0.64639,0.46854,0.72845,0.5646,0.88156,0.00770234,0.00770234,0.00770234
18,2409.49,0.86192,0.72881,0.93566,0.66388,0.59333,0.65701,0.47158,0.72394,0.56559,0.88081,0.00743468,0.00743468,0.00743468
19,3636.99,0.85665,0.72034,0.93376,0.66697,0.59441,0.64815,0.46471,0.72547,0.56343,0.87877,0.00715761,0.00715761,0.00715761
20,4854.11,0.85322,0.71566,0.93204,0.68635,0.62029,0.68139,0.48993,0.71284,0.54759,0.87448,0.00687222,0.00687222,0.00687222
21,6074.39,0.84606,0.70408,0.92959,0.69293,0.62693,0.68416,0.49521,0.70553,0.54008,0.87049,0.00657963,0.00657963,0.00657963
22,7306.4,0.84268,0.69974,0.92723,0.66435,0.63144,0.68165,0.49462,0.70616,0.53687,0.8705,0.00628101,0.00628101,0.00628101
23,8527.97,0.83664,0.69405,0.92623,0.67856,0.65173,0.69374,0.50464,0.70317,0.53303,0.87059,0.00597754,0.00597754,0.00597754
